id,MusicalTopics
d020e048-c7ad-49b4-81c4-2cb5b91c003d,"{'Pop': 5.769230769230769, 'Travel': 5.769230769230769, 'Rock': 4.807692307692308, 'Love': 14.423076923076922, 'Book': 8.653846153846153, 'Spring': 4.807692307692308, 'Home': 8.653846153846153, 'Dating': 3.8461538461538463, 'Hope': 37.5, 'Power': 5.769230769230769}"
1fe3430d-b43f-4b1a-ae36-708f2710f52b,"{'Royal': 6.451612903225806, 'Pop': 6.451612903225806, 'Travel': 6.451612903225806, 'Disco': 16.129032258064516, 'Love': 22.58064516129032, 'Book': 6.451612903225806, 'Family': 9.67741935483871, 'Home': 16.129032258064516, 'Dating': 3.225806451612903, 'Hell': 6.451612903225806}"
8639f598-61bf-4ed2-bdd5-9af0d14fa4ff,"{'Pop': 4.10958904109589, 'Adventure': 5.136986301369863, 'Growth': 24.65753424657534, 'Love': 3.767123287671233, 'Fantasy': 8.21917808219178, 'Loneliness': 3.4246575342465753, 'Family': 14.726027397260275, 'Home': 16.78082191780822, 'Dating': 3.767123287671233, 'Power': 15.41095890410959}"
46e21dfe-3af9-4e9f-b12e-fb0158258963,"{'Pride': 6.1571125265392785, 'Animal': 60.509554140127385, 'Love': 4.8832271762208075, 'Diversity': 3.821656050955414, 'Family': 3.821656050955414, 'Change': 6.1571125265392785, 'Revange': 4.8832271762208075, 'Sacrifice': 2.547770700636943, 'History': 4.033970276008493, 'Home': 3.1847133757961785}"
3b32b587-43e3-4004-84ff-16c08abdad0b,"{'Pop': 5.128205128205128, 'Travel': 5.128205128205128, 'Love': 17.94871794871795, 'Diversity': 7.6923076923076925, 'Work': 17.94871794871795, 'Fall': 15.384615384615385, 'Time': 10.256410256410255, 'Change': 7.6923076923076925, 'Spring': 7.6923076923076925, 'Power': 5.128205128205128}"
155596ff-ffbb-4e9f-a1bf-8f27cfcfa6c8,"{'Pop': 8.24742268041237, 'Love': 35.051546391752574, 'Book': 7.216494845360824, 'Family': 7.216494845360824, 'Time': 11.34020618556701, 'Change': 7.216494845360824, 'History': 5.154639175257731, 'Home': 6.185567010309279, 'Dating': 6.185567010309279, 'Power': 6.185567010309279}"
f8a12e22-db22-42b4-b0c6-13be4846d752,"{'Travel': 5.343511450381679, 'Love': 6.106870229007633, 'Work': 18.3206106870229, 'Family': 9.923664122137405, 'Time': 9.923664122137405, 'Fall': 6.870229007633588, 'History': 6.870229007633588, 'Home': 11.450381679389313, 'Power': 13.740458015267176, 'Sports': 11.450381679389313}"
016d0c09-81f5-4ce5-a5bf-434b7f3a9ce0,"{'Adventure': 4.326923076923077, 'Book': 38.94230769230769, 'Fantasy': 12.5, 'Family': 7.211538461538461, 'Time': 5.288461538461538, 'History': 9.615384615384617, 'Dating': 3.8461538461538463, 'Home': 6.25, 'Power': 8.173076923076923, 'Hell': 3.8461538461538463}"
739b901c-556d-4a57-bd2f-e61635c70172,"{'Dream': 6.153846153846154, 'Travel': 10.76923076923077, 'Adventure': 10.76923076923077, 'Love': 6.153846153846154, 'Book': 4.615384615384602, 'Magic': 6.153846153846154, 'Family': 18.461538461538463, 'Home': 18.461538461538463, 'Dating': 6.153846153846154, 'Power': 12.307692307692308}"
f7576d3d-f6e8-48ca-a129-e81eddfca127,"{'Dream': 3.6036036036036037, 'Adventure': 4.954954954954955, 'Rock': 3.6036036036036037, 'Pride': 10.81081081081081, 'Animal': 4.954954954954955, 'Family': 9.00900900900901, 'Time': 5.405405405405405, 'History': 3.6036036036036037, 'Home': 9.45945945945946, 'Power': 44.5945945945946}"
b52dfd8b-edb6-4ebb-b01d-9d88efecf174,"{'Pop': 6.2717770034843205, 'School': 9.40766550522648, 'Book': 21.254355400696863, 'Love': 6.620209059233449, 'Work': 8.362369337979095, 'Family': 10.104529616724738, 'Time': 10.801393728222997, 'Fall': 9.059233449477352, 'Home': 11.846689895470384, 'Sports': 6.2717770034843205}"
3644f33c-e6ef-4048-8db5-849938e03e3d,"{'Love': 39.91596638655462, 'Loneliness': 5.042016806722689, 'Family': 10.084033613445378, 'Time': 7.9831932773109235, 'Change': 3.361344537815126, 'History': 6.302521008403361, 'Home': 12.605042016806722, 'Dating': 5.46218487394958, 'Power': 4.201680672268908, 'Sports': 5.042016806722689}"
